route,kind,inlinks_from_main,outlinks
/,home,226,68
/404/,plain,0,41
/about/,page,217,41
/accessibility/,page,0,41
/areas/,index,19,42
/areas/buenaventura-lakes/,city,19,57
/areas/celebration/,city,24,58
/areas/championsgate/,city,25,58
/areas/davenport/,city,23,57
/areas/four-corners/,city,21,60
/areas/hunters-creek/,city,21,57
/areas/kissimmee/,city,32,56
/areas/lake-county/,county,2,44
/areas/lake-nona/,city,20,58
/areas/orange-county/,county,5,46
/areas/osceola-county/,county,12,47
/areas/poinciana/,city,21,59
/areas/polk-county/,county,6,43
/areas/seminole-county/,county,2,46
/areas/st-cloud/,city,23,57
/artificial-grass-installation/,service,73,69
/artificial-grass-installation/buenaventura-lakes/,cityservice,8,49
/artificial-grass-installation/celebration/,cityservice,6,48
/artificial-grass-installation/championsgate/,cityservice,7,48
/artificial-grass-installation/davenport/,cityservice,5,48
/artificial-grass-installation/four-corners/,cityservice,6,51
/artificial-grass-installation/hunters-creek/,cityservice,6,49
/artificial-grass-installation/kissimmee/,cityservice,8,50
/artificial-grass-installation/lake-nona/,cityservice,4,49
/artificial-grass-installation/poinciana/,cityservice,5,48
/artificial-grass-installation/st-cloud/,cityservice,5,48
/artificial-turf-cost/,price,174,51
/artificial-turf-cost/calculator/,tool,7,42
/blog/,index,44,82
/blog/artificial-grass-for-shady-side-yards/,post,15,45
/blog/artificial-turf-for-55-plus-communities/,post,8,44
/blog/artificial-turf-for-balconies-rooftops-and-condos/,post,6,44
/blog/artificial-turf-front-yard-florida/,post,6,45
/blog/artificial-turf-glossary/,post,28,46
/blog/artificial-turf-hurricane-flooding/,post,10,44
/blog/artificial-turf-near-live-oaks-and-palms/,post,7,45
/blog/artificial-turf-on-a-slope/,post,16,44
/blog/artificial-turf-pile-height-and-face-weight/,post,5,43
/blog/artificial-turf-pros-and-cons/,post,4,45
/blog/artificial-turf-vs-sod-cost-florida/,post,29,45
/blog/backyard-putting-green-cost-florida/,post,13,44
/blog/base-under-artificial-turf-florida-sandy-soil/,post,28,44
/blog/best-artificial-grass-for-florida/,post,3,44
/blog/best-artificial-grass-installer-near-me/,post,13,45
/blog/best-artificial-turf-contractor-kissimmee/,post,6,46
/blog/best-time-of-year-to-install-artificial-turf-florida/,post,2,45
/blog/can-artificial-turf-melt/,post,19,43
/blog/coolest-artificial-grass-and-infill-for-florida/,post,27,44
/blog/diy-vs-professional-artificial-turf-installation/,post,14,45
/blog/do-turf-installers-need-a-license-in-florida/,post,6,45
/blog/does-artificial-grass-increase-home-value-florida/,post,14,44
/blog/does-artificial-turf-drain-in-heavy-rain/,post,11,44
/blog/does-homeowners-insurance-cover-artificial-turf/,post,8,43
/blog/how-artificial-turf-is-installed-step-by-step/,post,7,45
/blog/how-hot-does-artificial-turf-get-in-florida/,post,32,44
/blog/how-long-does-artificial-turf-last-in-florida/,post,10,46
/blog/how-to-compare-artificial-turf-quotes/,post,22,44
/blog/how-to-get-dog-urine-smell-out-of-artificial-turf/,post,23,43
/blog/how-to-make-artificial-grass-look-real/,post,1,44
/blog/install-artificial-turf-over-concrete-pavers-or-grass/,post,27,43
/blog/is-artificial-turf-bad-for-the-environment/,post,5,44
/blog/is-artificial-turf-safe-for-kids-pfas-lead/,post,8,45
/blog/is-artificial-turf-worth-it-in-florida/,post,5,44
/blog/oak-leaves-and-debris-on-artificial-turf/,post,15,44
/blog/pet-turf-vs-regular-artificial-grass/,post,2,45
/blog/toho-water-restrictions-new-sod-vs-turf/,post,4,46
/blog/what-does-artificial-turf-warranty-cover/,post,28,46
/blog/what-to-expect-on-turf-installation-day/,post,10,45
/blog/why-is-artificial-grass-so-expensive/,post,16,45
/blog/why-new-construction-sod-dies-in-osceola-county/,post,13,44
/commercial-turf/,service,19,56
/commercial-turf/buenaventura-lakes/,cityservice,8,48
/commercial-turf/celebration/,cityservice,6,47
/commercial-turf/championsgate/,cityservice,7,49
/commercial-turf/davenport/,cityservice,5,47
/commercial-turf/four-corners/,cityservice,6,47
/commercial-turf/hunters-creek/,cityservice,6,47
/commercial-turf/kissimmee/,cityservice,8,47
/commercial-turf/lake-nona/,cityservice,4,49
/commercial-turf/poinciana/,cityservice,5,47
/commercial-turf/st-cloud/,cityservice,5,47
/compare/,compare,7,47
/compare/artificial-turf-vs-st-augustine-zoysia-bahia/,compare,3,45
/compare/local-turf-installer-vs-national-franchise/,compare,3,45
/compare/nylon-vs-polyethylene-vs-polypropylene-turf/,compare,7,43
/compare/playground-turf-vs-mulch-vs-poured-rubber/,compare,3,44
/compare/turf-vs-pavers-vs-rock-side-yard/,compare,4,43
/compare/zeolite-vs-silica-vs-antimicrobial-infill/,compare,10,44
/contact/,page,18,42
/faq/,faq,11,56
/faq/cost/,faq,2,48
/faq/hoa-permits/,faq,2,45
/faq/maintenance/,faq,4,44
/faq/pets-heat/,faq,2,45
/laws/,law,18,54
/laws/florida-hb-683/,law,51,46
/laws/hoa-rules/,law,48,46
/laws/permits/,permit,34,51
/laws/permits/city-of-kissimmee/,permit,6,45
/laws/permits/city-of-orlando/,permit,6,45
/laws/permits/city-of-st-cloud/,permit,5,45
/laws/permits/lake-county/,permit,5,43
/laws/permits/orange-county/,permit,9,44
/laws/permits/osceola-county/,permit,17,45
/laws/permits/polk-county/,permit,10,43
/laws/permits/seminole-county/,permit,3,43
/pet-turf/,service,34,58
/pet-turf/buenaventura-lakes/,cityservice,8,48
/pet-turf/celebration/,cityservice,6,47
/pet-turf/championsgate/,cityservice,7,48
/pet-turf/davenport/,cityservice,5,47
/pet-turf/four-corners/,cityservice,6,48
/pet-turf/hunters-creek/,cityservice,6,47
/pet-turf/kissimmee/,cityservice,8,48
/pet-turf/lake-nona/,cityservice,4,48
/pet-turf/poinciana/,cityservice,5,48
/pet-turf/st-cloud/,cityservice,5,47
/playground-turf/,service,19,58
/playground-turf/buenaventura-lakes/,cityservice,8,47
/playground-turf/celebration/,cityservice,6,47
/playground-turf/championsgate/,cityservice,7,48
/playground-turf/davenport/,cityservice,5,47
/playground-turf/four-corners/,cityservice,6,47
/playground-turf/hunters-creek/,cityservice,6,48
/playground-turf/kissimmee/,cityservice,8,47
/playground-turf/lake-nona/,cityservice,4,47
/playground-turf/poinciana/,cityservice,5,48
/playground-turf/st-cloud/,cityservice,5,47
/pool-turf/,service,25,57
/pool-turf/buenaventura-lakes/,cityservice,8,47
/pool-turf/celebration/,cityservice,6,47
/pool-turf/championsgate/,cityservice,7,47
/pool-turf/davenport/,cityservice,5,47
/pool-turf/four-corners/,cityservice,6,47
/pool-turf/hunters-creek/,cityservice,6,48
/pool-turf/kissimmee/,cityservice,8,47
/pool-turf/lake-nona/,cityservice,4,48
/pool-turf/poinciana/,cityservice,5,48
/pool-turf/st-cloud/,cityservice,5,47
/privacy/,page,147,41
/putting-greens/,service,23,59
/putting-greens/buenaventura-lakes/,cityservice,8,47
/putting-greens/celebration/,cityservice,6,47
/putting-greens/championsgate/,cityservice,7,47
/putting-greens/davenport/,cityservice,5,48
/putting-greens/four-corners/,cityservice,6,47
/putting-greens/hunters-creek/,cityservice,6,47
/putting-greens/kissimmee/,cityservice,8,47
/putting-greens/lake-nona/,cityservice,4,47
/putting-greens/poinciana/,cityservice,5,48
/putting-greens/st-cloud/,cityservice,5,47
/services/,index,15,41
/sports-turf/,service,15,58
/sports-turf/buenaventura-lakes/,cityservice,8,47
/sports-turf/celebration/,cityservice,6,47
/sports-turf/championsgate/,cityservice,7,47
/sports-turf/davenport/,cityservice,5,47
/sports-turf/four-corners/,cityservice,6,47
/sports-turf/hunters-creek/,cityservice,6,47
/sports-turf/kissimmee/,cityservice,8,47
/sports-turf/lake-nona/,cityservice,4,47
/sports-turf/poinciana/,cityservice,5,47
/sports-turf/st-cloud/,cityservice,5,47
/terms/,page,0,41
/thank-you/,plain,0,41
/tools/,index,2,44
/tools/hoa-packet-checklist/,tool,16,43
/tools/turf-vs-sod/,tool,7,42
/turf-and-pavers/,service,18,56
/turf-and-pavers/buenaventura-lakes/,cityservice,8,47
/turf-and-pavers/celebration/,cityservice,6,47
/turf-and-pavers/championsgate/,cityservice,7,47
/turf-and-pavers/davenport/,cityservice,5,47
/turf-and-pavers/four-corners/,cityservice,6,47
/turf-and-pavers/hunters-creek/,cityservice,6,47
/turf-and-pavers/kissimmee/,cityservice,8,47
/turf-and-pavers/lake-nona/,cityservice,4,47
/turf-and-pavers/poinciana/,cityservice,5,47
/turf-and-pavers/st-cloud/,cityservice,5,47
/turf-cleaning/,service,25,54
/turf-cleaning/buenaventura-lakes/,cityservice,8,47
/turf-cleaning/celebration/,cityservice,6,47
/turf-cleaning/championsgate/,cityservice,7,47
/turf-cleaning/davenport/,cityservice,5,47
/turf-cleaning/four-corners/,cityservice,6,47
/turf-cleaning/hunters-creek/,cityservice,6,47
/turf-cleaning/kissimmee/,cityservice,8,47
/turf-cleaning/lake-nona/,cityservice,4,47
/turf-cleaning/poinciana/,cityservice,5,48
/turf-cleaning/st-cloud/,cityservice,5,47
/turf-repair/,service,26,55
/turf-repair/buenaventura-lakes/,cityservice,8,48
/turf-repair/celebration/,cityservice,6,47
/turf-repair/championsgate/,cityservice,7,48
/turf-repair/davenport/,cityservice,5,47
/turf-repair/four-corners/,cityservice,6,47
/turf-repair/hunters-creek/,cityservice,6,47
/turf-repair/kissimmee/,cityservice,8,48
/turf-repair/lake-nona/,cityservice,4,48
/turf-repair/poinciana/,cityservice,5,49
/turf-repair/st-cloud/,cityservice,5,47
/turf-replacement/,service,23,55
/turf-replacement/buenaventura-lakes/,cityservice,8,48
/turf-replacement/celebration/,cityservice,6,47
/turf-replacement/championsgate/,cityservice,7,48
/turf-replacement/davenport/,cityservice,5,48
/turf-replacement/four-corners/,cityservice,6,47
/turf-replacement/hunters-creek/,cityservice,6,47
/turf-replacement/kissimmee/,cityservice,8,48
/turf-replacement/lake-nona/,cityservice,4,49
/turf-replacement/poinciana/,cityservice,5,48
