route,kind,title,title_len,h1,meta,meta_len,words,html_kb,noindex
/services/,index,"Artificial Turf Services in Kissimmee, FL: Install to Repair",60,Artificial turf services,"All twelve artificial turf services from Kissimmee Artificial Turf: lawns, pet turf, putting greens, playgrounds, pool areas, repairs, cleaning and replacement.",160,543,25.4,False
/areas/,index,Service Areas | Artificial Turf Within 40 Miles of Kissimmee,60,Where we install artificial turf,"Kissimmee Artificial Turf serves Osceola, Orange, Polk, Lake and Seminole counties: every town within about 40 miles of Kissimmee, with a local page for each.",158,303,22.5,False
/blog/,index,Artificial Turf Blog | Straight Answers for Florida Yards,57,Artificial turf articles for Florida homeowners,"Plain answers about artificial grass in Central Florida: cost, heat, dogs, drainage, HOA rules, the 2026 state turf standard, product choices and care.",151,441,19.4,False
/tools/,index,"Artificial Turf Calculators & Checklists | Kissimmee, FL",56,Turf planning tools,"Free tools for planning an artificial turf project in Central Florida: a cost and materials calculator, a turf vs. sod ten-year calculator and an HOA checklist.",160,95,16.5,False
/tools/turf-vs-sod/,tool,Turf vs. Sod Cost Calculator: 10 Years in Florida,49,Turf vs. sod: ten-year cost calculator,"Enter your lawn size, mowing bill and water bill to compare ten years of artificial turf against St. Augustine sod in Central Florida. Simple, transparent math.",160,261,18.9,False
/tools/hoa-packet-checklist/,tool,HOA / ARC Application Checklist for Artificial Turf (Florida),61,HOA and ARC application checklist for turf,"The ten items Florida HOA and ARC boards ask for before approving artificial turf, who provides each, and what changed with the 2026 state standard.",148,476,20.2,False
/about/,page,About Kissimmee Artificial Turf | Locally Owned by Luis Austin,62,About Kissimmee Artificial Turf,"Kissimmee Artificial Turf is a locally owned synthetic turf installer in Kissimmee, FL, established in 2024 by owner Luis Austin. How we work.",142,333,18.2,False
/contact/,page,Contact Kissimmee Artificial Turf | (689) 202-3710,50,Get a turf quote,Call or text (689) 202-3710 or send the form for a measured artificial turf quote in Kissimmee and Central Florida. Photos of the yard help us answer faster.,157,211,21.9,False
/privacy/,page,Privacy Policy | Kissimmee Artificial Turf,42,Privacy policy,"How Kissimmee Artificial Turf handles form submissions, calls, texts and analytics. No advertising cookies, no selling of personal information.",143,338,17.7,False
/terms/,page,Terms of Use | Kissimmee Artificial Turf,40,Terms of use,"Terms for using kissimmeeartificialturf.com: prices are dated market ranges, legal articles are informational, and quotes are binding only in writing.",150,189,16.9,False
